state_ut_name,district,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan-feb,mar-may,jun-sep,oct-dec,mean_rainfall,std_rainfall,recharge_index,predicted_recharge
WEST BENGAL,JALPAIGURI,9.2,17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18.0,7.2,3468.3,27.0,498.3,2757.9,185.1,612.0529411764707,990.8543946499198,0.47975599297304033,0.47838001835124716
WEST BENGAL,MALDA,13.6,10.5,14.5,34.8,106.2,216.6,332.9,284.8,283.0,102.5,13.2,6.8,1419.4,24.1,155.5,1117.3,122.5,250.48235294117646,401.47218807050336,0.196339894595604,0.19640412395852047
WEST BENGAL,SOUTH DINAJPUR,8.9,13.3,19.0,58.9,167.8,289.3,368.9,248.0,279.7,112.5,13.0,5.6,1584.9,22.2,245.7,1185.9,131.1,279.6882352941177,438.1138021141781,0.2192328441204543,0.21793488535081768
WEST BENGAL,NORTH DINAJPUR,21.5,2.0,8.0,35.7,162.9,316.0,367.0,307.7,403.8,90.7,9.1,3.2,1727.6,23.5,206.6,1394.5,103.0,304.87058823529406,495.72755592753,0.23897196132405624,0.23894005413156585
SIKKIM,NORTH SIKKIM,61.6,98.5,199.5,238.3,355.4,503.0,489.4,428.2,389.7,265.0,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9,546.0882352941177,778.0004047897027,0.4280497420220492,0.4273300319533029
SIKKIM,EAST SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509.0,441.0,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5,455.6823529411764,686.7008175283597,0.3571853429792649,0.3569866607647574
SIKKIM,WEST SIKKIM,61.6,98.5,199.5,238.3,355.4,503.0,489.4,428.2,389.7,265.0,43.5,22.4,3094.5,160.1,793.2,1810.3,330.9,546.0882352941177,778.0004047897027,0.4280497420220492,0.4273300319533029
SIKKIM,SOUTH SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509.0,441.0,356.6,154.7,18.4,19.4,2582.2,89.6,528.9,1771.2,192.5,455.6823529411764,686.7008175283597,0.3571853429792649,0.3569866607647574
WEST BENGAL,BANKURA,12.0,18.0,22.0,36.3,66.9,215.0,303.2,290.7,242.3,105.2,9.8,9.5,1330.9,30.0,125.2,1051.2,124.5,234.86470588235292,376.6643796889621,0.1840980454539167,0.18403469215553278
WEST BENGAL,BIRBHUM,13.4,16.1,21.2,30.9,78.7,222.3,313.9,298.8,271.0,105.1,15.8,5.6,1392.8,29.5,130.8,1106.0,126.5,245.7882352941176,395.29609769505845,0.19266042355414767,0.19263426457456248
WEST BENGAL,BURDWAN,10.7,22.2,19.8,37.8,78.8,198.2,294.1,285.3,251.1,99.8,11.4,6.0,1315.2,32.9,136.4,1028.7,117.2,232.09411764705885,370.35763032268596,0.18192632758358349,0.1818226753166506
WEST BENGAL,HOOGHLY,11.9,26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16.0,6.9,1418.7,38.5,187.3,1067.9,125.0,250.35882352941178,391.7187416674487,0.19624306641030254,0.19628779181018025
WEST BENGAL,HOWRAH,12.2,24.9,32.0,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,1600.0,37.1,211.0,1211.4,140.5,282.3529411764706,443.23644806926563,0.22132156640338624,0.22147326389369312
WEST BENGAL,PURULIA,14.3,20.7,24.6,36.1,57.3,222.1,298.7,307.0,266.7,91.5,16.7,7.6,1363.3,35.0,118.0,1094.5,115.8,240.58235294117648,388.87494332255153,0.18857980717358527,0.1884148764979552
WEST BENGAL,MURSHIDABAD,16.8,11.2,19.0,34.0,87.0,237.6,328.6,256.9,256.2,126.3,11.0,6.5,1391.1,28.0,140.0,1079.3,143.8,245.48823529411766,390.37565863273437,0.1924252693898441,0.19246048103627647
WEST BENGAL,NADIA,12.2,17.6,21.1,42.1,95.2,234.1,270.8,236.0,214.1,100.2,10.4,7.8,1261.6,29.8,158.4,955.0,118.4,222.63529411764708,349.34270591565326,0.17451205510907006,0.1748073810742393
WEST BENGAL,NORTH 24 PARG,15.6,17.8,30.3,51.5,113.4,271.9,317.2,304.3,279.4,130.9,21.8,5.7,1559.8,33.4,195.2,1172.8,158.4,275.25882352941176,430.44597811285144,0.21576086204750114,0.21585630697301317
WEST BENGAL,SOUTH 24 PARG,13.6,26.7,37.9,41.7,125.1,316.0,463.6,416.2,356.8,218.4,62.3,9.7,2088.0,40.3,204.7,1552.6,290.4,368.47058823529414,574.2808587319295,0.28882464415641906,0.28847573992871706
WEST BENGAL,EAST MIDNAPOR,15.9,18.6,31.8,34.7,108.1,253.5,284.9,338.7,343.2,196.9,34.0,9.3,1669.6,34.5,174.6,1220.3,240.2,294.635294117647,455.709915874639,0.23094905454193346,0.23035623550458928
WEST BENGAL,WEST MIDNAPOR,12.2,24.1,39.0,56.8,107.6,243.8,329.5,316.0,276.8,106.5,17.9,5.3,1535.5,36.3,203.4,1166.1,129.7,270.97058823529414,425.8860701007751,0.21239954075774972,0.21247479009032744
WEST BENGAL,KOLKATA,14.4,24.7,33.5,53.1,113.4,278.3,361.0,335.2,306.6,155.3,24.8,8.9,1709.2,39.1,200.0,1281.1,189.0,301.62352941176465,471.02232899488394,0.2364267633104173,0.23422152444450522
ORISSA,BALASORE,11.9,36.0,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,1679.0,47.9,218.5,1177.1,235.5,296.29411764705884,449.00462479604295,0.23224931874455343,0.23159886388262554
ORISSA,BOLANGIR,11.1,15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,1370.8,27.0,80.3,1174.1,89.4,241.90588235294115,407.6075141459432,0.18961725201610113,0.1890694350305924
ORISSA,KANDHAMAL/PHU,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9,255.58235294117645,406.63310741271135,0.20033751538876515,0.20038565282945858
